,Company name Latin alphabet,Ticker symbol,State or province (in US or Canada),DUO - Number of employees,GUO - Number of employees,"Model data - Global parent number of employees
th","Number of employees
2024","Number of employees
2023","Number of employees
2022","Number of employees
2021","Number of employees
2020","Number of employees
2019","Number of employees
2018","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014"
1.,"AMAZON.COM, INC.",AMZN,WA,"1,576,000","1,576,000","1,556","1,556,000","1,525,000","1,541,000","1,608,000","1,298,000","798,000","647,500","566,000","341,400","230,800","154,100"
2.,WALMART INC.,WMT,AR,n.a.,n.a.,"2,100","2,100,000","2,100,000","2,100,000","2,300,000","2,300,000","2,200,000","2,200,000","2,300,000","2,300,000","2,300,000","2,200,000"
3.,APPLE INC.,AAPL,CA,"166,000","166,000",164,"164,000","161,000","164,000","154,000","147,000","137,000","132,000","123,000","116,000","110,000","92,600"
4.,ALPHABET INC.,GOOGL,CA,"190,820","190,820",183,"183,323","182,502","190,234","156,500","135,301","118,899","98,771","80,110","72,053","61,814","53,600"
5.,CVS HEALTH CORPORATION,CVS,RI,"300,000","300,000",300,"300,000","300,000","300,000","300,000","300,000","290,000","295,000","332,000","250,000","243,000","217,800"
6.,MCKESSON CORPORATION,MCK,TX,"45,000","45,000",45,"45,000","51,000","51,000","75,000","76,000","80,000","80,000","78,000","78,000","68,000","70,400"
7.,EXXON MOBIL CORPORATION,XOM,TX,"58,000","58,000",61,"61,000","62,000","62,000","63,000","72,000","74,900","71,000","69,600","71,100","73,500","75,300"
8.,"CENCORA, INC.",COR,PA,"51,000","51,000",42,"42,000","42,000","39,000","38,000","21,000","22,000","21,000","20,000","18,000","16,500","13,000"
9.,UNITEDHEALTH GROUP INC.,UNH,MN,"400,000","400,000",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
10.,MICROSOFT CORPORATION,MSFT,WA,"228,000","228,000",228,"228,000","221,000","221,000","181,000","163,000","144,000","131,000","124,000","114,000","118,000","128,000"
11.,COSTCO WHOLESALE CORPORATION,COST,WA,"341,000","341,000",341,"333,000","316,000","304,000","288,000","273,000","254,000","245,000","231,000","218,000","205,000","195,000"
12.,"CARDINAL HEALTH, INC.",CAH,OH,"57,700","57,700",58,"48,900","48,000","46,500","47,300","48,000","49,500","50,200","40,400","37,300","34,500","34,000"
13.,NVIDIA CORPORATION,NVDA,CA,n.a.,n.a.,36,"36,000","29,600","26,196","22,473","18,975","13,775","13,277","11,528","10,299","9,227","9,228"
14.,"META PLATFORMS, INC.",META,CA,"78,865","78,865",74,"74,067","67,317","86,482","71,970","58,604","44,942","35,587","25,105","17,048","12,691","9,199"
15.,FORD MOTOR COMPANY,F,MI,"169,000","169,000",171,"171,000","177,000","173,000","183,000","186,000","190,000","199,000","202,000","201,000","199,000","187,000"
16.,GENERAL MOTORS COMPANY,GM,MI,"156,000","156,000",162,"162,000","163,000","167,000","157,000","155,000","164,000","173,000","180,000","225,000","215,000","216,000"
17.,CHEVRON CORPORATION,CVX,CA,"43,039","43,039",45,"45,298","45,600","43,846","42,595","47,736","48,200","48,600","51,900","55,200","61,500","64,700"
18.,"THE HOME DEPOT, INC.",HD,GA,n.a.,n.a.,470,"470,100","463,100","471,600","490,600","504,800","415,700","413,000","413,000","406,000","385,000","371,000"
19.,CENTENE CORP,CNC,MO,"60,500","60,500",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
20.,THE KROGER CO.,KR,OH,"409,000","409,000",409,"409,000","414,000","430,000","420,000","465,000","435,000","453,000","449,000","443,000","431,000","400,000"
21.,"ELEVANCE HEALTH, INC.",ELV,IN,"104,200","104,200",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
22.,VERIZON COMMUNICATIONS INC,VZ,NY,"89,900","89,900",100,"99,600","105,400","117,100","118,400","132,200","135,000","144,500","155,400","160,900","177,700","177,300"
23.,MARATHON PETROLEUM CORPORATION,MPC,OH,"18,500","18,500",18,"18,300","18,200","17,800","17,700","57,900","60,910","60,350","43,800","44,460","45,440","45,340"
24.,PHILLIPS 66,PSX,TX,"12,600","12,600",13,"13,200","14,000","13,000","14,000","14,300","14,500","14,200","14,600","14,800","14,000","14,000"
25.,AT&T INC.,T,TX,"133,030","133,030",141,"140,990","149,900","160,700","203,000","230,000","246,000","268,000","252,000","268,000","281,450","253,000"
26.,COMCAST CORPORATION,CMCSA,PA,"179,000","179,000",182,"182,000","186,000","186,000","189,000","168,000","190,000","184,000","164,000","159,000","153,000","139,000"
27.,VALERO ENERGY CORPORATION,VLO,TX,"9,785","9,785",10,"9,922","9,908","9,743","9,813","9,964","10,222","10,261","10,015","9,996","10,103","10,065"
28.,DELL TECHNOLOGIES INC.,DELL,TX,-,-,108,"108,000","120,000","133,000","133,000","158,000","165,000","157,000","145,000","138,000","101,800","98,300"
29.,HUMANA INC.,HUM,KY,"65,680","65,680",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
30.,TARGET CORP,TGT,MN,"440,000","440,000",440,"440,000","415,000","440,000","450,000","409,000","368,000","360,000","345,000","323,000","341,000","347,000"
31.,"TESLA, INC.",TSLA,TX,"134,785","134,785",126,"125,665","140,473","127,855","99,290","70,757","48,016","48,817","37,543","30,025","13,058","10,161"
32.,WALT DISNEY COMPANY (THE),DIS,CA,"231,000","231,000",233,"233,000","225,000","220,000","190,000","203,000","223,000","201,000","199,000","195,000","185,000","180,000"
33.,JOHNSON & JOHNSON,JNJ,NJ,"138,200","138,200",138,"138,100","131,900","152,700","141,700","134,500","132,200","135,100","134,000","126,400","127,100","126,500"
34.,PEPSICO INC,PEP,NY,"306,000","306,000",319,"319,000","318,000","315,000","309,000","291,000","267,000","267,000","263,000","264,000","263,000","271,000"
35.,THE BOEING COMPANY,BA,VA,"182,000","182,000",172,"172,000","171,000","156,000","142,000","141,000","161,100","153,000","140,800","150,500","161,400","165,500"
36.,UNITED PARCEL SERVICE INC,UPS,GA,"460,000","460,000",490,"490,000","500,000","536,000","534,000","543,000","495,000","481,000","454,000","434,000","444,000","270,000"
37.,RTX CORPORATION,RTX,VA,"180,000","180,000",186,"186,000","185,000","182,000","174,000","181,000","243,200","240,000","205,000","202,000","197,000","211,000"
38.,"T-MOBILE US, INC.",TMUS,WA,"75,000","198,079",57,"70,000","67,000","71,000","75,000","75,000","53,000","52,000","51,000","50,000","50,000","45,000"
39.,BERKSHIRE HATHAWAY INC.,BRKB,NE,"392,400","392,400",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
40.,FEDEX CORPORATION,FDX,TN,"440,000","440,000",440,"505,000","529,000","547,000","470,000","399,000","239,000","227,000","169,000","168,000","166,000","162,000"
41.,"LOWE'S COMPANIES, INC.",LOW,NC,n.a.,n.a.,270,"270,000","284,000","307,000","340,000","340,000","320,000","300,000","310,000","290,000","270,000","266,000"
42.,THE PROCTER & GAMBLE COMPANY,PG,OH,"109,000","109,000",109,"108,000","107,000","106,000","101,000","99,000","97,000","92,000","95,000","105,000","110,000","118,000"
43.,SYSCO CORPORATION,SYY,TX,"75,000","75,000",75,"76,000","72,000","71,000","58,000","57,000","69,000","67,000","66,500","51,900","51,700","50,300"
44.,ARCHER-DANIELS-MIDLAND COMPANY,ADM,IL,"41,496","41,496",44,"44,043","41,802","42,000","41,000","39,000","38,100","31,600","31,300","31,800","32,300","33,900"
45.,"HCA HEALTHCARE, INC.",HCA,TN,"320,000","320,000",316,"316,000","310,000","294,000","284,000","275,000","280,000","328,000","316,000","241,000","233,000","225,000"
46.,LOCKHEED MARTIN CORPORATION,LMT,MD,"123,000","123,000",121,"121,000","122,000","116,000","114,000","114,000","110,000","105,000","100,000","97,000","126,000","112,000"
47.,THE PROGRESSIVE CORPORATION,PGR,OH,"66,300","66,300",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
48.,CATERPILLAR INC.,CAT,TX,"118,000","118,000",113,"112,900","113,200","109,100","107,700","97,300","102,300","104,000","98,400","95,400","105,700","114,233"
49.,INTERNATIONAL BUSINESS MACHINES CORP,IBM,NY,"286,800","286,800",293,"293,400","305,300","311,300","307,600","375,300","352,600","350,600","366,600","380,300","377,757","379,592"
50.,ELI LILLY AND COMPANY,LLY,IN,"50,000","50,000",47,"47,000","43,000","39,000","35,000","35,000","33,625","38,680","40,655","41,975","41,275","39,135"
51.,"MERCK & CO., INC.",MRK,NJ,"75,000","75,000",75,"75,000","72,000","69,000","68,000","74,000","71,000","69,000","69,000","68,000","68,000","70,000"
52.,BROADCOM INC.,AVGO,CA,"33,000","33,000",37,"37,000","20,000","20,000","20,000","21,000","19,000","15,000","14,000","15,700","8,200","8,400"
53.,"DELTA AIR LINES, INC.",DAL,GA,"103,000","103,000",103,"103,000","103,000","95,000","83,000","74,000","91,224","88,680","86,564","83,756","82,949","79,655"
54.,PFIZER INC,PFE,NY,"75,000","75,000",81,"81,000","88,000","83,000","79,000","78,500","88,300","92,400","90,200","96,500","97,900","78,300"
55.,ABBVIE INC.,ABBV,IL,"57,000","57,000",55,"55,000","50,000","50,000","50,000","47,000","30,000","30,000","29,000","30,000","28,000","26,000"
56.,"UNITED AIRLINES HOLDINGS, INC",UAL,IL,"113,200","113,200",107,"107,300","103,300","92,795","84,100","74,400","96,000","92,000","89,800","88,000","84,000","84,000"
57.,CONOCOPHILLIPS,COP,TX,"9,900","9,900",12,"11,800","9,900","9,500","9,900","9,700","10,400","10,800","11,400","13,300","15,900","19,100"
58.,THE ALLSTATE CORPORATION,ALL,IL,"55,000","55,000",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
59.,ORACLE CORP,ORCL,TX,"162,000","162,000",162,"159,000","164,000","143,000","132,000","135,000","136,000","137,000","138,000","136,000","132,000","122,000"
60.,CISCO SYSTEMS INC,CSCO,CA,"86,200","86,200",86,"90,400","84,900","83,300","79,500","77,500","75,900","74,200","72,900","73,700","71,833","74,042"
61.,"THE TJX COMPANIES, INC.",TJX,MA,"364,000","364,000",364,"364,000","349,000","329,000","340,000","320,000","286,000","270,000","249,000","235,000","216,000","198,000"
62.,HP INC.,HPQ,CA,"55,000","55,000",58,"58,000","58,000","58,000","51,000","53,000","56,000","55,000","49,000","49,000","287,000","302,000"
63.,"CHARTER COMMUNICATIONS, INC.",CHTR,CT,"91,900","91,900",95,"94,500","101,100","101,700","93,700","96,100","95,100","98,000","94,800","91,500","23,800","23,200"
64.,"TYSON FOODS, INC.",TSN,AR,40,40,6,"138,000","139,000","142,000","137,000","139,000","141,000","121,000","122,000","114,000","113,000","124,000"
65.,INTEL CORP,INTC,CA,"85,100","85,100",109,"108,900","124,800","131,900","121,100","110,600","110,800","107,400","102,700","106,000","107,300","106,700"
66.,GENERAL DYNAMICS CORPORATION,GD,VA,"117,000","117,000",117,"117,000","111,600","106,500","103,100","100,700","102,900","105,600","98,600","98,800","99,900","99,500"
67.,"UBER TECHNOLOGIES, INC.",UBER,CA,"34,000","34,000",31,"31,100","30,400","32,800","29,300","22,800","26,900","22,263",n.a.,n.a.,n.a.,n.a.
68.,BRISTOL-MYERS SQUIBB COMPANY,BMY,NJ,"32,500","32,500",34,"34,100","34,100","34,300","32,200","30,250","30,000","23,300","23,700","25,000","25,000","25,000"
69.,THE COCA-COLA COMPANY,KO,GA,"65,900","65,900",70,"69,700","79,100","82,500","79,000","80,300","86,200","62,600","61,800","100,300","123,200","129,200"
70.,NIKE INC,NKE,OR,"77,800","77,800",78,"79,400","83,700","79,100","73,300","75,400","76,700","73,100","74,400","70,700","62,600","56,500"
71.,THE CIGNA GROUP,CI,CT,"73,500","73,500",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
72.,GENERAL ELECTRIC COMPANY,GE,OH,"57,000","57,000",53,"53,000","125,000","172,000","168,000","174,000","205,000","283,000","313,000","295,000","333,000","305,000"
73.,DEERE & COMPANY,DE,IL,"73,100","73,100",76,"75,800","83,000","82,200","75,550","69,600","73,500","74,000","60,500","56,800","57,200","59,600"
74.,"NETFLIX, INC.",NFLX,CA,"16,000","16,000",14,"14,000","13,000","12,800","11,300","9,400","8,600","7,100","5,500","4,700","3,700","2,450"
75.,"METLIFE, INC.",MET,NY,"45,000","45,000",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
76.,THERMO FISHER SCIENTIFIC INC.,TMO,MA,n.a.,n.a.,125,"125,000","122,000","130,000","130,000","80,000","75,000","70,000","70,000","55,000","52,000","51,000"
77.,ABBOTT LABORATORIES,ABT,IL,"115,000","115,000",114,"114,000","114,000","115,000","113,000","109,000","107,000","103,000","99,000","75,000","74,000","77,000"
78.,QUALCOMM INCORPORATED,QCOM,CA,"52,000","52,000",49,"49,000","50,000","51,000","45,000","41,000","37,000","35,400","33,800","30,500","33,000","31,300"
79.,"PRUDENTIAL FINANCIAL, INC.",PRU,NJ,"38,196","38,196",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
80.,NORTHROP GRUMMAN CORPORATION,NOC,VA,"95,000","95,000",97,"97,000","101,000","95,000","88,000","97,000","90,000","85,000","70,000","67,000","65,000","64,300"
81.,"THE TRAVELERS COMPANIES, INC.",TRV,NY,"34,000","34,000",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
82.,"BEST BUY CO., INC.",BBY,MN,"85,000","85,000",85,"85,000","85,000","90,000","105,000","102,000","125,000","125,000","125,000","125,000","125,000","125,000"
83.,SALESFORCE INC,CRM,CA,n.a.,n.a.,76,"76,453","72,682","79,390","73,541","56,606","49,000","35,000","29,000","25,000","19,000","16,000"
84.,PHILIP MORRIS INTERNATIONAL INC.,PM,CT,"84,900","84,900",83,"83,100","82,700","79,800","69,600","71,000","73,500","77,400","80,600","79,500","80,200","82,500"
85.,DOLLAR GENERAL CORPORATION,DG,TN,"194,200","194,200",194,"194,200","185,800","170,000","163,000","158,000","143,000","135,000","129,000","121,000","113,400","105,500"
86.,"CBRE GROUP, INC.",CBRE,TX,"155,000","155,000",140,"140,000","130,000","115,000","105,000","100,000","100,000","90,000","80,000","75,000","70,000","52,000"
87.,BANK OF AMERICA CORPORATION,BAC,NC,"213,000","213,000",214,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
88.,MOLINA HEALTHCARE INC.,MOH,CA,"18,000","18,000",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
89.,VISA INC,V,CA,"34,100","34,100",34,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
90.,DOW INC.,DOW,MI,"34,600","34,600",36,"36,000","35,900","37,800","35,700","35,700","36,500","37,000",n.a.,n.a.,n.a.,n.a.
91.,JPMORGAN CHASE & CO,JPM,NY,"318,512","318,512",313,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
92.,"MONDELEZ INTERNATIONAL, INC.",MDLZ,IL,"91,000","91,000",90,"90,000","91,000","91,000","79,000","79,000","80,000","80,000","83,000","90,000","99,000","104,000"
93.,GE VERNOVA INC.,GEV,MA,"75,000","75,000",75,"75,000","80,000",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
94.,HONEYWELL INTERNATIONAL INC,HON,NC,"101,000","101,000",102,"102,000","95,000","97,000","99,000","103,000","113,000","114,000","131,000","131,000","129,000","127,000"
95.,"MICRON TECHNOLOGY, INC.",MU,ID,"53,000","53,000",53,"48,000","43,000","48,000","43,000","40,000","37,000","36,000","34,100","31,400","31,800","30,400"
96.,"WARNER BROS. DISCOVERY, INC.",WBD,NY,n.a.,n.a.,35,"35,000","35,300","37,500","11,000","9,800","9,200","9,000","7,000","7,000","7,000","6,800"
97.,STARBUCKS CORPORATION,SBUX,WA,"381,000","381,000",361,"361,000","381,000","402,000","383,000","349,000","346,000","291,000","277,000","254,000","238,000","191,000"
98.,AMGEN INC.,AMGN,CA,"31,500","31,500",28,"28,000","26,700","25,200","24,200","24,300","23,400","21,500","20,800","19,200","17,900","17,900"
99.,"ADVANCED MICRO DEVICES, INC.",AMD,CA,"31,000","31,000",28,"28,000","26,000","25,000","15,500","12,600","11,400","10,100","8,900","8,200","9,100","9,700"
100.,HEWLETT PACKARD ENTERPRISE COMPANY,HPE,TX,"67,000","67,000",61,"61,000","62,000","60,200","60,400","59,400","61,600","60,000","66,000","195,000","240,000","252,000"
101.,"D.R. HORTON, INC.",DHI,TX,"14,341","14,341",15,"14,766","13,450","13,237","11,788","9,716","8,916","8,437","7,735","6,976","6,230","5,621"
102.,LENNAR CORP,LEN,FL,"12,532","12,532",13,"13,265","12,284","12,012","10,753","9,495","10,106","11,626","9,111","8,335","7,749","6,825"
103.,CUMMINS INC.,CMI,IN,"67,400","67,400",70,"69,600","75,500","73,600","59,900","57,825","61,615","62,610","58,600","55,400","55,200","54,600"
104.,"ONEOK, INC.",OKE,OK,"6,326","6,326",5,"5,177","4,775","2,966","2,847","2,886","2,882","2,684","2,470","2,384","2,364","2,269"
105.,"PAYPAL HOLDINGS, INC.",PYPL,CA,"23,800","23,800",24,"24,400","27,200","29,900","30,900","26,500","23,200","21,800","18,700","18,100","16,800","15,800"
106.,NUCOR CORPORATION,NUE,NC,"33,000","33,000",33,"32,700","32,000","31,400","28,800","26,400","26,800","26,300","25,100","23,900","23,700","23,600"
107.,MASTERCARD INCORPORATED,MA,NY,"39,800","39,800",35,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
108.,DUKE ENERGY CORPORATION,DUK,NC,"26,441","26,441",26,"26,413","27,037","27,859","27,605","27,535","28,793","30,083","29,060","28,798","29,188","28,344"
109.,"NRG ENERGY, INC.",NRG,TX,"16,702","16,702",16,"15,637","18,131","6,603","6,635","4,104","4,577","4,862","5,940","8,763","10,468","9,806"
110.,"JABIL, INC.",JBL,FL,"135,000","135,000",135,"138,000","236,000","250,000","238,000","240,000","200,000","199,000","170,000","138,000","161,000","142,000"
111.,THE SOUTHERN COMPANY,SO,GA,"29,800","29,800",29,"28,600","28,100","27,700","27,300","27,700","27,943","29,192","31,344","32,015","26,703","26,369"
112.,"GILEAD SCIENCES, INC.",GILD,CA,"17,000","17,000",18,"17,600","18,000","17,000","14,400","13,600","11,800","11,000","10,000","9,000","8,000","7,000"
113.,PARAMOUNT SKYDANCE CORP.,PSKY,NY,"17,600","17,600",19,"18,600","21,900","24,500","22,965","22,109","23,990","12,770","12,700","15,550","16,260","17,310"
114.,"QUANTA SERVICES, INC.",PWR,TX,"69,500","69,500",58,"58,400","52,500","47,300","43,700","35,800","40,300","8,400","8,100","5,200","4,200","24,600"
115.,PACCAR INC,PCAR,WA,"25,900","25,900",30,"30,100","32,400","31,100","28,500","26,000","27,000","28,000","25,000","23,000","23,000","23,300"
116.,APPLIED MATERIALS INC,AMAT,CA,"36,500","36,500",36,"35,700","34,000","33,000","27,000","24,000","22,000","21,000","18,400","15,600","14,600","14,000"
117.,SOUTHWEST AIRLINES CO.,LUV,TX,"72,790","72,790",72,"72,450","74,806","66,656","55,100","56,500","60,800","58,800","56,100","53,500","49,600","46,278"
118.,"THE GOLDMAN SACHS GROUP, INC.",GS,NY,"47,400","47,400",47,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
119.,BAKER HUGHES COMPANY,BKR,TX,"56,000","56,000",57,"57,000","58,000","55,000","54,000","55,000","68,000","66,000","64,000","33,000","43,000","62,000"
120.,"NEXTERA ENERGY, INC.",NEE,FL,"17,400","17,400",17,"16,800","16,800","15,300","15,000","14,900","8,900","9,100","13,900","14,200","13,800","13,400"
121.,"MARSH & MCLENNAN COMPANIES, INC.",MMC,NY,"95,000","95,000",90,"90,000","85,000","85,000","83,000","76,000","76,000","65,000","64,000","60,000","60,000","57,000"
122.,BOOKING HOLDINGS INC.,BKNG,CT,"24,300","24,300",24,"24,300","23,600","21,600","20,300","20,300","26,400","24,500","22,900","18,500","15,500","12,700"
123.,MCDONALD'S CORPORATION,MCD,IL,"150,000","150,000",150,"150,000","150,000","150,000","200,000","200,000","205,000","210,000","235,000","375,000","420,000","420,000"
124.,"MARRIOTT INTERNATIONAL, INC.",MAR,MD,"148,000","148,000",155,"155,000","148,000","140,000","120,000","121,000","174,000","176,000","177,000","226,500","127,500","123,500"
125.,FREEPORT-MCMORAN INC.,FCX,AZ,"29,000","29,000",29,"28,500","27,200","25,600","24,700","24,500","27,500","26,800","25,200","30,000","34,500","35,000"
126.,WELLS FARGO & COMPANY,WFC,CA,"205,000","205,000",212,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
127.,CONSTELLATION ENERGY CORPORATION,CEG,MD,"15,339","15,339",14,"14,264","13,871","13,370","11,696","12,478",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
128.,"WASTE MANAGEMENT, INC.",WM,TX,"60,500","60,500",62,"61,700","48,000","49,500","48,500","48,250","44,900","43,700","42,300","41,200","40,600","39,800"
129.,"LIVE NATION ENTERTAINMENT, INC.",LYV,CA,"17,700","17,700",16,"16,200","14,700","12,800","10,200","8,200","10,500","9,500","8,800","8,300","7,700","7,900"
130.,STRYKER CORPORATION,SYK,MI,"56,000","56,000",53,"53,000","52,000","51,000","46,000","43,000","40,000","36,000","33,000","33,000","27,000","26,000"
131.,3M COMPANY,MMM,MN,"60,500","60,500",62,"61,500","85,000","92,000","95,000","94,987","96,163","93,516","91,536","91,584","89,446","89,800"
132.,THE KRAFT HEINZ COMPANY,KHC,PA,"392,400","392,400",36,"36,000","36,000","37,000","36,000","38,000","37,000","38,000","39,000","41,000","42,000",n.a.
133.,PG&E CORP,PCG,CA,10,10,0,10,10,10,11,8,12,13,20,30,20,12
134.,DANAHER CORPORATION,DHR,DC,"60,000","60,000",63,"63,000","63,000","81,000","80,000","69,000","60,000","71,000","67,000","62,000","81,000","71,000"
135.,UNION PACIFIC CORP,UNP,NE,"29,287","29,287",32,"32,439","32,973","33,179","32,124","30,960","37,483","41,967","41,992","42,919","47,457","47,201"
136.,GENUINE PARTS COMPANY,GPC,GA,"65,000","65,000",63,"63,000","60,000","58,000","52,000","50,000","55,000","50,000","48,000","40,000","39,600","39,000"
137.,KKR & CO INC,KKR,NY,n.a.,n.a.,51,"4,834","4,490","4,150","3,238","1,583","1,384","1,301","1,184","1,200","1,200","1,209"
138.,EXELON CORPORATION,EXC,IL,"20,571","20,571",20,"20,014","19,962","19,063","31,518","32,340","32,713","33,383","34,621","34,396","29,762","28,993"
139.,BLOCK INC,XYZ,CA,"10,205","10,205",11,"11,372","12,985","12,428","8,521","5,477","3,835","3,349","2,338","1,853","1,449","1,282"
140.,ADOBE INC.,ADBE,CA,"31,360","31,360",31,"30,709","29,945","29,239","25,988","22,516","22,634","21,357","17,973","15,706","13,893","12,499"
141.,SHERWIN WILLIAMS COMPANY (THE),SHW,OH,"64,249","64,249",64,"63,890","64,088","64,366","61,626","61,031","61,111","53,368","52,695","42,550","40,706","39,674"
142.,AMERICAN INTERNATIONAL GROUP INC.,AIG,NY,"22,200","22,200",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
143.,"ALTRIA GROUP, INC.",MO,VA,"5,900","5,900",6,"6,200","6,400","6,300","6,000","7,100","7,300","8,300","8,300","8,300","8,800","9,000"
144.,AMPHENOL CORP,APH,CT,"170,000","170,000",125,"125,000","95,000","91,000","90,000","80,000","74,000","73,600","70,000","62,000","50,700","50,700"
